全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131059,1,東京都,文京区,おもてなし食堂,オモテナシショクドウ,,,東京都文京区小石川3-4-14,,35.71237,139.74536,,,,,,,,,,,,,,5,木,,17:00,18:00,,,0,0,0,300,300,,電話,,60,,1,,,,,,
131059,2,東京都,文京区,氷川下子ども食堂,ヒカワシタコドモショクドウ,,,東京都文京区千石3-3-7,,35.72449,139.73657,,,,,,,,,,,,,,5,日,,11:00,13:00,,,0,0,0,0,0,,電話;SMS,,70,,1,,,,,,
131059,3,東京都,文京区,おたがいさま食堂せんごく,オタガイサマショクドウセンゴク,,,東京都文京区白山2-13-6,,35.71693,139.74638,,,,,,,,,,,,,,5,,,11:30,13:30,,,0,0,0,300,300,,電話,,10,,,,,,,,
131059,4,東京都,文京区,文京BASE子ども食堂,ブンキョウベースコドモショクドウ,,,東京都文京区小石川3-28-14,ワコーレ小石川101,35.71355,139.74954,,,,,,,,,,,,,,5,,,18:00,21:00,,,0,0,0,300,300,,LINE;SNS,,30,,,,,,,,
131059,5,東京都,文京区,おかえりごはん,オカエリゴハン,,,東京都文京区千駄木3-42-4,坂下会館,35.72793,139.76401,,,,,,,,,,,,,,4,金,,18:00,20:00,原則第2・4金曜日だが変動あり,,0,0,0,0,300,,,テイクアウトは申込みフォームから要予約。会食は不要,60,,,,,,,,
131059,6,東京都,文京区,定泉寺こども食堂,ジョウセンジコドモショクドウ,,,東京都文京区本駒込1-7-12,定泉寺,35.72551,139.75311,,,,,,,,,,,,,,5,,,18:00,20:00,不定期（友引の前日など）,,0,0,0,0,300,,,,200,,,,,,,,
131059,7,東京都,文京区,動坂ごはん,ドウザカゴハン,,,東京都文京区本駒込4-21-7,動坂テラス,35.73193,139.75764,,,,,,,,,,,,,,5,土,,16:30,18:00,土曜の不定期開催,,0,0,0,0,300,,申込みフォーム,事前予約制,100,,,,,,,,
131067,1,東京都,台東区,下町こども食堂みらい,シタマチコドモショクドウミライ,栄養バランスの取れた食事を提供することにより、子供が集い、交流する場の提供及び子供の交流の促進,学習支援;フードパントリー,東京都台東区松が谷4-12-1,日本ホーリネス教団上野教会,35.71759,139.78581,090-9365-1679,,,,,,https://taitokonet.sakura.ne.jp/,taitokonet@gmail.com,,,,,ＮＰＯ法人台東区の子育てを支え合うネットワーク,5,水,毎月第三水曜日,16:00,20:00,,なし,0,0,0,0,0,,,,,1,1,,,,,,
131067,2,東京都,台東区,下町こども食堂さくら,シタマチコドモショクドウサクラ,栄養バランスの取れた食事を提供することにより、子供が集い、交流する場の提供及び子供の交流の促進,学習支援;フードパントリー,東京都台東区清川1-8-4,こども極楽堂,35.72387,139.80208,090-9365-1679,,,,,,https://taitokonet.sakura.ne.jp/,taitokonet@gmail.com,,,,,ＮＰＯ法人台東区の子育てを支え合うネットワーク,3,火木,毎月第二火曜日、第四木曜日,16:00,20:00,,なし,0,0,0,0,0,,,,,1,1,,,,,,
131067,3,東京都,台東区,ユニバーサルスペースさくら,ユニバーサルスペースサクラ,栄養バランスの取れた食事を提供することにより、子供が集い、交流する場の提供及び子供の交流の促進,学習支援,東京都台東区橋場1丁目,※以下未公開,35.72427,139.80699,非公開,,,,,,,,,,,,社会福祉法人　愛隣団,2,月水金,毎週月、水、金曜日,16:00,19:00,,なし,0,0,0,0,0,,,,,,1,,,,,,
