NO,都道府県コード又は市区町村コード,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
0000000001,472115,沖縄県,沖縄市,一般社団法人みんなのももやま子ども食堂,イッパンシャダンホウジンミンナノモモヤマコドモショクドウ,,生活指導;学習支援;就学支援;キャリア支援,沖縄市上地3-20-12,,26.334938,127.790497,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,13:00,20:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供
0000000002,472115,沖縄県,沖縄市,夢空間たんぽぽ,ユメクウカンタンポポ,,生活指導;学習支援;キャリア支援,沖縄市泡瀬2-50-25,,26.316990,127.835392,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,13:00,18:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,軽食※必要に応じて夕食対応
0000000003,472115,沖縄県,沖縄市,住吉国際ジュニア倶楽部,スミヨシコクサイジュニアクラブ,,生活指導;学習支援,沖縄市住吉1-11-23,,26.338288,127.807971,(098)939-1212,,,,2282,,,,,,,,,1 ,月火木金土,,16:00,20:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供
0000000004,472115,沖縄県,沖縄市,ここキッズ,ココキッズ,,生活指導;学習支援,沖縄市高原5-18-1,,26.321323,127.828030,(098)939-1212,,,,2282,,,,,,,,,3 ,月金,,15:00,19:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,軽食提供
0000000005,472115,沖縄県,沖縄市,美ら団子,チュラダンゴ,,生活指導;学習支援;就学支援;キャリア支援,沖縄市知花1-25-3,1階,26.360582,127.818184,(098)939-1212,,,,2282,,,,,,,,,1 ,火水木金土,,13:00,20:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,平日夕（軽食）、週末昼・夕食
0000000006,472115,沖縄県,沖縄市,こどな部,コドナブ,,生活指導;学習支援;就学支援,沖縄市美里仲原町7-25,,26.347007,127.825915,(098)939-1212,,,,2282,,,,,,,,,2 ,火木金,,14:00,19:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供
0000000007,472115,沖縄県,沖縄市,おこすこや教室,オコスコヤキョウシツ,,生活指導;学習支援;就学支援;キャリア支援,沖縄市照屋4-12-2,,26.331924,127.817212,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,14:00,21:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供（お弁当）
0000000008,472115,沖縄県,沖縄市,学習支援ひろばくじら寺子屋,ガクシュウシエンヒロバクジラテラコヤ,,生活指導;学習支援;就学支援,沖縄市海邦2-9-10,,26.329979,127.833440,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,13:00,19:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,軽食（おやつを含む）提供
0000000009,472115,沖縄県,沖縄市,エンカレッジ美里学習支援教室,エンガレッジミサトガクシュウシエンキョウシツ,,生活指導;学習支援;就学支援;キャリア支援,沖縄市松本4-16-42,,26.356678,127.817529,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,14:00,21:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供（お弁当）
0000000010,472115,沖縄県,沖縄市,ゆめさきスクール,ユメサキスクール,,生活指導;学習支援;就学支援;キャリア支援,沖縄市中央1-22-3 ,島中央店舗2階,26.337535,127.800168,(098)939-1212,,,,2282,,,,,,,,,1 ,月火水木金,,14:00,19:00,開所日、時間については事業所によって変更する場合がありますのでご了承ください。,,,,,,,こどもの利用料は無料です。,居場所の利用および見学、各種お問い合わせは、こどもの居場所づくり支援員までご連絡ください。,,,,,,,,,,夕食提供（お弁当）
