全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131083,,東京都,江東区,江東中学生勉強会,コウトウチュウガクセイベンキョウカイ,,,東京都江東区亀戸7-41-16,青少年交流プラザ,,,090-2161-1963,,,,,,,usausa@js5.so-net.ne.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,みなみすなこども食堂,ミナミスナコドモショクドウ,,,東京都江東区南砂4-3-12,,,,(03)5633-7173,,,,,,http://www.facebook.com/pokapokakodomo/,espoir-yawara@wg7.so-net.ne.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,亀戸ふれあい食堂,カメドフレアイショクドウ,,,東京都江東区亀戸9-33-2-101,亀戸ふれあいセンター,,,(03)5609-8822,,,,,,,kameido-fureai@foryou.or.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,たつみこども食堂,タツミコドモショクドウ,,,東京都江東区辰巳1,辰巳団地,,,080-7898-0217,,,,,,http://www.facebook.com/pokapokakodomo/,espoir-yawara@wg7.so-net.ne.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,もんなかこども食堂,モンナカコドモショクドウ,,,東京都江東区深川1-11-4,2F,,,(03)6458-5420,,,,,,http://www.facebook.com/monnakakodomo/,monnakakodomo@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,下町こどもダイニング,シタマチコドモダイニング,,,東京都江東区東陽2-2-20,東京YMCA東陽町コミュニティーセンター,,,(03)3615-5565,,,,,,http://bit.ly/2KaOAqY,toyocomu@tokyoymca.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,すなまちよっちゃん家こども食堂,スナマチヨッチャンイエコドモショクドウ,,,東京都江東区東砂7-9-13,,,,090-7831-5609,,,,,,http://www.facebook.com/sunamachikodomo/,sunamachikodomo@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,つみき子ども食堂,ツミキコドモショクドウ,,,東京都江東区大島7-41-4,来集軒,,,(03)3638-2734,,,,,,,ume.0128@icloud.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,こども食堂ヤミー！,コドモショクドウヤミー,,,東京都江東区枝川1-6-18,枝川西地区集会所,,,,,,,,,http://www.facebook.com/kodomo.yummy/,kodomoyummy@yahoo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,東陽子ども食堂スマイル,トウヨウコドモショクドウスマイル,,,東京都江東区東陽4-11-1,東陽東地区集会所2階,,,(03)5875-0856,,,,,,,kodomoshokudo-smile@cpost.plala.or.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,ぼたんこども食堂,ポタンコドモショクドウ,,,東京都江東区牡丹3-6-5,牡丹町商店街会館2階,,,,,,,,,https://ameblo.jp/botan-kodomosyokudou/,botan.kodomosyokudou@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,無印良品東京有明こども食堂,ムジルシリョウヒントウキョウアリアケコドモショクドウ,,,東京都江東区有明2-1-7,モール＆スパ棟1階,,,(03)6380-7818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131083,,東京都,江東区,食育カフェEDEN,ショクイクカフェエデン,,,東京都江東区豊洲5,,,,,,,,,,,edennokuni@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
