全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131091,,東京都,品川区,クロモンこども食堂,クロモンコドモショクドウ,,,品川区北品川１丁目周辺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,ちゃいるどべーす品川（旧Pistaのこども食堂品川）,チャイルドベースシナガワ,,,品川区西中延１－２－８　平塚橋ゆうゆうプラザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,となんこども食堂,トナンコドモショクドウ,,,"品川区南品川６－６－７   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,ぬくもりこども食堂,ヌクモリコドモショクドウ,,,品川区大井３－３－４　　在日大韓基督協会　品川教会1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,子ども食堂　ふたば,コドモショクドウフタバ,,,品川区二葉４－２１－４　二葉4丁目会館内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,宿題外来,シュクダイガイライ,,,品川区豊町４－１８－２１　ゆたか診療所内３F「ゆたかの家」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,子どもゆめ食堂　だんらん,コドモユメショクドウダンラン,,,品川区西大井２－５－２１（ウェルカムセンター原）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,東五反田食堂,ヒガシゴタンダショクドウ,,,品川区東五反田４－１１－６　東五反田倶楽部・地域交流スペース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,やしお食堂（旧けめとも子ども食堂）,ヤシオショクドウ,,,品川区八潮５－６－３７－１０９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,こども食堂　ビストロ　ウッフ,コドモショクドウビストロウッフ,,,品川区中延６－３－１４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,こども食堂　あかゆ,コドモショクドウアカユ,,,品川区小山４－１－６　ファーストＯＫビル１０１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,福栄みらい塾,フクエイミライジュク,,,品川区東品川３－１－８　福栄会内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,オリーブの樹,オリーブノキ,,,品川区東大井２－２３－３　KPビル２F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,こども食堂ｗａｉｗａｉ,コドノショクドウワイワイ,,,品川区中延４－４－１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,なるとキッチン子ども食堂,ナルトキッチンコドモショクドウ,,,品川区西五反田 2-26-4 桔梗ビル1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,トントンみんなの子ども食堂,トントンミンナノコドモショクドウ,,,品川区二葉３－３－５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,子ども食堂ぬまフェス！！,コドモショクドウヌマフェス,,,品川区中延４－１９－９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,てしおこども食堂,テシオコドモショクドウ,,,品川区小山６－５－１０千代田ビル１F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,スタジオMINAMI子ども食堂部,スタジオマナミコドモショクドウブ,,,品川区中延１－１０－１９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,"けめカフェ
（旧けめとも×うたちか食堂）",ケメカフェ,,,品川区西大井２－４－１４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,旗の台ひかりっ子食堂,ハタノダイヒカリッコショクドウ,,,品川区旗の台６－２２－２４　日本聖公会三光教会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,みつばちマーヤこども食堂,ミツバチマーヤコドモショクドウ,,,品川区荏原７－6－９　摩耶寺会館２階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,ComidasTKD子ども食堂,コミダスティーケーディーコドモショクドウ,,,品川区大崎３－１０－１６　1階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,あーちゃんの子ども食堂,アーチャンノコドモショクドウ,,,品川区西品川２－５－１０　三ツ木会館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,歌の力子ども食堂,ウタノチカラコドモショクドウ,,,品川区大井２－２７－１５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,クラブ・ターニー,クラブターニー,,,品川区大崎1-2-2 アートヴィレッジ大崎セントラルタワー2階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,しなちる子ども食堂,シナチルコドモショクドウ,,,品川区南大井１－１－１８－1階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,ゆたか子ども食堂,ユタカコドモショクドウ,,,品川区豊町４－１０－９　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,はたのだい子ども食堂,ハタノダイコドモショクドウ,,,品川区旗の台3-2-9ぷらりす湯〜亀・SUN3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,かもめこども食堂,カモメコドモショクドウ,,,品川区東品川１－２９－６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
