?全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131105,1,東京都,目黒区,こどもば食堂＠上目黒,コドモバショクドウアットカミメグロ,,,東京都目黒区祐天寺2-6-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,2,東京都,目黒区,こどもば食堂＠中央町,コドモバショクドウアットチュウオウチョウ,,,東京都目黒区中央町2-4-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,3,東京都,目黒区,かみめみんなの食堂,カミメミンナノショクドウ,,,東京都目黒区祐天寺2-6-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,4,東京都,目黒区,おてらでごはん,オテラデゴハン,,,東京都目黒区中目黒5-24-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,5,東京都,目黒区,ゆとり会議室,ユトリカイギシツ,,,東京都目黒区目黒区鷹番3-12-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,6,東京都,目黒区,ちゃいるどべーす目黒本町,チャイルドベース メグロホンチョウ,,,東京都目黒区目黒本町2-1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,7,東京都,目黒区,すずめ食堂,スズメショクドウ,,,東京都目黒区碑文谷3-15-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,8,東京都,目黒区,とりつだい処,トリツダイドコロ,,,東京都目黒区八雲1-10-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,9,東京都,目黒区,ECO膳,エコゼン,,,東京都目黒区東が丘1-7-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,10,東京都,目黒区,まると食堂,マルトショクドウ,,,東京都目黒区青葉台2-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131105,11,東京都,目黒区,おやこカフェ,オヤコカフェ,,,東京都目黒区目黒本町4-3-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
