全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131113,AA0100000001,,,こども食堂ﾋﾛ,コドモショクドウヒロ,,,東京都大田区南千束2-18-13 ﾊｰﾌﾞﾃｨ―HIRO																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000002,,,大岡山こども食堂,オオオカヤマコドモショクドウ,,,			東京都大田区北千束3-20-8 ｽﾀｰﾊﾞﾚｰ2 1F Salon&Cafe ToiToiToi																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,住所中の「2」は、正しくはローマ数字「Ⅱ」
131113,AA0100000003,,,ﾏﾑｱｲﾅ,マムアイナ,,,			東京都大田区田園調布本町1-35-9 QOL CafeMamAina																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000004,,,嶺町こども食堂みんなでごはん,ミネマチコドモショクドウミンナデゴハン,,,			東京都大田区田園調布本町7-1 嶺町文化ｾﾝﾀｰ2F																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000005,,,田園調布子ども食堂ともこｷｯﾁﾝ,デンエンチョウフコドモショクドウトモコキッチン,,,			東京都大田区田園調布4丁目																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000006,,,ｶﾌｪｷｬﾋﾞﾝ,カフェキャビン,,,			東京都大田区南雪谷5-3-12 CAFE CABIN																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000007,,,たんぽぽ食堂,タンポポショクドウ,,,			東京都大田区南雪谷5-3-12 CAFE CABIN																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000008,,,子ども食堂ｳﾒｷｯﾁﾝ,コドモショクドウウメキッチン,,,東京都田園調布本町29-8 ごはん処梅吉																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000009,,,子ども食堂ﾌﾗﾝｼｽｺの広場,コドモショクドウフランシスコノヒロバ,,,			東京都大田区仲池上1-21-11																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000010,,,こあら村のこども食堂,コアラムラノコドモショクドウ,,,東京都大田区久が原6-26-4 NPO法人こあら村																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000011,,,馬込子まもり食堂,マゴメコマモリショクドウ,,,			東京都大田区北馬込2-5-5 宗福寺																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000012,,,れんげの会こども食堂Withおとな,レンゲノカイコドモショクドウウィズオトナ,,,東京都大田区西馬込2-20-1 ﾗｲﾌｺﾐｭﾆﾃｨ西馬込 他																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000013,,,絆倶楽部,キズナクラブ,,,東京都大田区西馬込2-20-1 ﾗｲﾌｺﾐｭﾆﾃｨ西馬込 他																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000014,,,絆カフェ,キズナカフェ,,,東京都大田区西馬込2-20-1 ﾗｲﾌｺﾐｭﾆﾃｨ西馬込 他																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000015,,,絆御飯,キズナゴハン,,,東京都大田区西馬込2-20-1 ﾗｲﾌｺﾐｭﾆﾃｨ西馬込 他																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000016,,,てくてく食堂,テクテクショクドウ,,,東京都大田区西馬込2-20-1 ﾗｲﾌｺﾐｭﾆﾃｨ西馬込 他																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000017,,,南馬込ｱｸﾞﾈｽこども食堂,ミナミマゴメアグネスコドモショクドウ,,,東京都大田区南馬込1-58-8 大森聖ｱｸﾞﾈｽ教会ﾎｰﾙ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000018,,,Steak＆Hamburg SOH,ステーキアンドハンバーグソウ,,,東京都大田区山王2-36-9 Steak&Hamburg SOH																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000019,,,おばんざい　地獄に佛,オバンザイジゴクニホトケ,,,			東京都大田区山王2-2-15 地獄谷																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000020,,,おやこｶﾌｪｳﾞｪﾙﾃﾞ,オヤコカフェウ゛ェルデ,,,			東京都大田区中央1-15-1-101 おやこcafe verde																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000021,,,ほっとねっとｷｯﾁﾝ,ホットネットキッチン,,,東京都大田区中央2-10-1 大田文化の森																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000022,,,みんなでべジ食,ミンナデベジショク,,,			東京都大田区池上3-32-17 ﾂｲﾝｳｯﾄﾞｽｸｴｱ1階 せわのわ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000023,,,子ども食堂ｵﾑﾗｲｽ食堂,コドモショクドウオムライスショクドウ,,,東京都大田区大森北1-29-6 洋食亭おおはし																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
