全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131130,,東京都,渋谷区,恵比寿じもと食堂,エビスジモトコドモショクドウ,地域のお母さんボランティアによる、渋谷区の先駆的な子ども食堂活動。,,東京都渋谷区恵比寿4-5-15,,,,,,,,,,,,,,,,,,,第2・4水曜日 15時～19時,15:00,19:00,,,,,,,,,,,,,,加計塚小,,,,,
131130,,東京都,渋谷区,景丘の家・こども食堂,カゲオカノイエコドモショクドウ,かまどや、囲炉裏を使い、日本文化に触れながら、調理を行う。,,東京都渋谷区恵比寿4-5-15,,,,,,,,,,,,,,,,,,,第3水曜日 17時30分～19時30分,17:30,19:30,,,,,,,,,,,,,,加計塚小,,,,,
131130,,東京都,渋谷区,恵比寿ママ食堂,エビスママショクドウ,近隣に住む、子育て世帯の母親たちが中心となり、食事を通じて交流をはかる。,,東京都渋谷区恵比寿4-5-15,,,,,,,,,,,,,,,,,,,月1回　土曜日　10時30分～,10:30,,,,,,,,,,,,,,,臨川小;加計塚小,,,,,
131130,,東京都,渋谷区,東京西ロータリークラブこどもテーブル,トウキョウニシロータリークラブコドモテーブル,東京西ロータリークラブの慈善活動による子ども食堂活動。,,東京都渋谷区恵比寿4-5-15,,,,,,,,,,,,,,,,,,,不定期開催　10時～,10:00,,,,,,,,,,,,,,,広尾小l;臨川小;長谷戸小;神南小;常盤松小;加計塚小;神宮前小,,,,,
131130,,東京都,渋谷区,渋谷のラジオの教室子供テーブル,シブヤノラジオノキョウシツコドモテーブル,渋谷のラジオの関わる人脈を活かした専門家によるワークショップを実施。,,東京都渋谷区恵比寿4-5-15,,,,,,,,,,,,,,,,,,,月1回　15時～,15:00,,,,,,,,,,,,,,,臨川小;加計塚小,,,,,
131130,,東京都,渋谷区,卯めこども食堂,ウメコドモショクドウ,元食堂経営者が地域貢献として行う子ども食堂。,,東京都渋谷区恵比寿1-25-12,,,,,,,,,,,,,,,,,,,月1回  金曜日　16時～,16:00,,,,,,,,,,,,,,,臨川小;加計塚小,,,,,
131130,,東京都,渋谷区,パール子どもテーブル活動,パールコドモテーブルカツドウ,親の帰りが遅い子どもを対象とし、食べるだけでなく、施設の高齢者との多世代交流等も実施。,,東京都渋谷区鉢山町3-27,,,,,,,,,,,,,,,,,,,毎週月曜・木曜　17時～19時,17:00,19:00,,,,,,,,,,,,,,猿楽小,,,,,
131130,,東京都,渋谷区,ミート・ザ・おやつ,ミートザオヤツ,毎回、料理研究家と子供達が世界各国の料理や日本の伝統料理を一緒に作り、楽しむ活動。,,東京都渋谷区代官山7-9,,,,,,,,,,,,,,,,,,,月2回不定期　16時30分～18時,16:30,18:00,,,,,,,,,,,,,,長谷戸小;猿楽小;広尾小,,,,,
131130,,東京都,渋谷区,長谷戸生活学校子ども食堂,ハセコセイカツガッコウコドモショク,主婦が作る家庭的料理を通じて、地域の子どもたちとの交流を図る。,,東京都渋谷区代官山7-9,,,,,,,,,,,,,,,,,,,第4金曜日　17時30分～18時,17:30,18:00,,,,,,,,,,,,,,長谷戸小,,,,,
131130,,東京都,渋谷区,渋谷こどもテーブルゆめとぴあ,ウシブヤコドモテーブルユメトピア,食品はナチュラルフードを推進、専門家や美大生によるアートワークショップも実施。,,東京都渋谷区鶯谷町10-15,,,,,,,,,,,,,,,,,,,第4日曜日　14時～,14:00,,,,,,,,,,,,,,,猿楽小,,,,,
131130,,東京都,渋谷区,渋谷・長崎歴史文化情報発信塾,シブヤナガサキレキシブンカジョウホウハッシンジュク,渋谷龍馬会による活動。長崎発祥の食文化の体験、明治維新の志士たちのワークショップを実施。,,東京都渋谷区鶯谷町10-15,,,,,,,,,,,,,,,,,,,第3土曜日　15時～,15:00,,,,,,,,,,,,,,,猿楽小,,,,,
131130,,東京都,渋谷区,くるり食堂,クルリショクドウ,たこ焼きを子ども達と作り、食べる楽しみ、作る楽しみを知ってもらう活動。,,東京都渋谷区恵比寿西1-７-９,,,,,,,,,,,,,,,,,,,月2回日曜日　13時～,13:00,,,,,,,,,,,,,,,猿楽小,,,,,
131130,,東京都,渋谷区,リフレッシュ氷川こども食堂,リフレッシュヒカワコドモショクドウ,食事の提供とともに、折り紙など、環境に優しい作品作りも実施。,,東京都渋谷区東1-26-23,,,,,,,,,,,,,,,,,,,月1回　17時～19時,17:00,19:00,,,,,,,,,,,,,,常磐松小;広尾小,,,,,
131130,,東京都,渋谷区,美竹の丘こどもごはん,ビチクノオカコドモゴハン,フードドライブを活用したエコクッキングを実施。,,東京都渋谷区渋谷1-18-9,,,,,,,,,,,,,,,,,,,月1回　17時～19時,17:00,19:00,,,,,,,,,,,,,,神南小;神宮前小,,,,,
131130,,東京都,渋谷区,渋喜屋テーブル,シブキヤテーブル,弁当配布を毎月実施。不定期で、自宅を開放し、子どもに食事提供や学習支援も実施。,,東京都渋谷区広尾3-2-14,,,,,,,,,,,,,,,,,,,第2火曜・第4木曜　14時～,14:00,,,,,,,,,,,,,,,常磐松小;広尾小,,,,,
131130,,東京都,渋谷区,スマイルきっちんナチュレ,スマイルキッチンナチュレ,自然食の提供とアートワークショップの実施。,,東京都渋谷区渋谷2-22-7,,,,,,,,,,,,,,,,,,,月1回不定期　12時～,12:00,,,,,,,,,,,,,,,神南小;神宮前小,,,,,
131130,,東京都,渋谷区,オーガニックおおうち食堂,オーガニックオオウチショクドウ,月1回、お寿司屋さんが手作りした食事を提供する。,,東京都渋谷区渋谷2-8-4 佐野ビル1F,,,,,,,,,,,,,,,,,,,第1日曜日　11時～,11:00,,,,,,,,,,,,,,,常磐松小,,,,,
131130,,東京都,渋谷区,渋谷おやこサロン,シブヤオヤコサロン,自宅を開放し、放課後居場所のない子どもたちに開放し、食事提供も実施。,,東京都渋谷区南平台町12-13-402,,,,,,,,,,,,,,,,,,,平日　15時30分～,15:30,,,,,,,,,,,,,,,猿楽小,,,,,
131130,,東京都,渋谷区,子ども料理教室,コドモリョウリキョウシツ,ベーグル店等を展開する企業ノウハウを活かした活動を実施。,,東京都渋谷区宇田川町3-10,,,,,,,,,,,,,,,,,,,月1回程度　16時～17時30分,16:00,17:30,,,,,,,,,,,,,,神南小,,,,,
131130,,東京都,渋谷区,渋谷センター街こども食堂,シブヤセンターガイコドモショクドウ,食事やワークショップを通じて、SDGSの理解を深める活動を実施。,,東京都渋谷区宇田川町16-8,,,,,,,,,,,,,,,,,,,第3木曜日　17時～19時,17:00,19:00,,,,,,,,,,,,,,神南小,,,,,
131130,,東京都,渋谷区,子ども食堂,コドモショクドウ,調理製菓専門学校の教員、学生による子ども食堂。,,東京都渋谷区円山町28-5,,,,,,,,,,,,,,,,,,,不定期開催　10時～,10:00,,,,,,,,,,,,,,,神南小,,,,,
131130,,東京都,渋谷区,上富ダイニング,ウエトミダイニング,上原地区の町会長を中心に発足、大学生による学習支援もあり。,,東京都渋谷区上原3-13-8,,,,,,,,,,,,,,,,,,,年10回　16時～19時,16:00,19:00,,,,,,,,,,,,,,上原小;富谷小,,,,,
131130,,東京都,渋谷区,みらいこどもテーブル,ミライコドモテーブル,株式会社ダイアナ有志による、食育活動。親子で調理して、食べる楽しみを本社ビルで実施。,,東京都渋谷区富ヶ谷1-35-23,,,,,,,,,,,,,,,,,,,2ヶ月に1回　第2火曜日　16時～18時,16:00,18:00,,,,,,,,,,,,,,区内小学校,,,,,
131130,,東京都,渋谷区,SHIBUYAコドモとママのミライ創造プロジェクト,シブヤコドモトママノミライソウゾウプロジェクト,工作等ワークショップを実施し、その後は食事で交流を図る。,,東京都渋谷区富ヶ谷2-9-13,,,,,,,,,,,,,,,,,,,月1回不定期　12時～,12:00,,,,,,,,,,,,,,,上原小;富谷小,,,,,
131130,,東京都,渋谷区,コドモ大学食育部,コドモダイガクショクイクブ,食事やワークショップを通じて食の重要性を伝える活動を実施。,,東京都渋谷区富ヶ谷2-9-15,,,,,,,,,,,,,,,,,,,第2・第4土曜日　13時～,13:00,,,,,,,,,,,,,,,上原小;富谷小,,,,,
131130,,東京都,渋谷区,上原ファンインずっとも食堂,ウエハラファンインズットモショクドウ,食堂の時間前には、上原社教館の体育室で集団遊びやスポーツ交流も実施。,,東京都渋谷区大山町21-10,,,,,,,,,,,,,,,,,,,第1水曜日　17時00分～,17:00,,,,,,,,,,,,,,,上原小,,,,,
131130,,東京都,渋谷区,サンキューキッチン,サンキューキッチン,奉優会職員による、子ども食堂活動。,,東京都渋谷区西原1-22-9,,,,,,,,,,,,,,,,,,,不定期　11時～13時,11:00,13:00,,,,,,,,,,,,,,西原小,,,,,
131130,,東京都,渋谷区,Mamapura Kids＆Baby,ママプラキッズアンドベビー,ママたちがぷらっと集まり交流する。親子のふれあい、地域の繋がりを深める活動。,,東京都渋谷区西原2-35-1,,,,,,,,,,,,,,,,,,,月1、2回　10時～,10:00,,,,,,,,,,,,,,,未就学児,,,,,
131130,,東京都,渋谷区,初台キッズ食堂,ハツダイキッズショクドウ,一汁三菜のおふくろの味を提供。チクチク教室として針と糸を使った作品作りも実施。,,東京都渋谷区初台1-33-10,,,,,,,,,,,,,,,,,,,第3木曜日　17時～18時30分,17:00,18:30,,,,,,,,,,,,,,幡代小,,,,,
131130,,東京都,渋谷区,初台クラブ,ハツダイクラブ,初台のレストランが地域貢献として行う子ども食堂。,,東京都渋谷区初台１-11-2,,,,,,,,,,,,,,,,,,,第2土曜日　11時～,11:00,,,,,,,,,,,,,,,幡代小,,,,,
131130,,東京都,渋谷区,代々木こどもテーブル春の小川,ヨヨギコドモテーブルハルノオガワ,英語学習の時間や、12月はお菓子の家作りなど実施。,,東京都渋谷区代-木4-4-1,,,,,,,,,,,,,,,,,,,第1火曜日　15時50分～17時30分,15:50,17:30,,,,,,,,,,,,,,代々木山谷小,,,,,
131130,,東京都,渋谷区,みんなの食卓,ミンナノショクタク,参宮橋地域の子育て世帯を中心とした団体。ワークショップも実施する。,,東京都渋谷区代-木4-50-13,,,,,,,,,,,,,,,,,,,月１回金曜日　17時30分～,17:30,,,,,,,,,,,,,,,代々木山谷小,,,,,
131130,,東京都,渋谷区,渋谷区おばさん,シブヤクオバサン,食べるだけでなく、住職から説法を学んだり、キッズダンス等ワークショップも実施。,,東京都渋谷区代-木4-23-13,,,,,,,,,,,,,,,,,,,第2水曜日他　15時～17時,15:00,17:00,,,,,,,,,,,,,,幡代小;代々木山谷小,,,,,
131130,,東京都,渋谷区,みんなのみらいをつくる保育園初台子ども食堂,ミンナノミライヲツクルホイクエンハツダイコドモショクドウ,近隣の未就学児の親子を対象に、お弁当配布を実施。,,東京都渋谷区代-木4-37-15,,,,,,,,,,,,,,,,,,,月1回　17時30分～18時30分,17:30,18:30,,,,,,,,,,,,,,未就学児,,,,,
131130,,東京都,渋谷区,みんなのカフェ“大空”,ミンナノカフェオオゾラ,地域住民が主となり、多世代が集える子ども食堂を実施。,,東京都渋谷区幡ヶ谷2-50-2,,,,,,,,,,,,,,,,,,,第2水曜・第4水曜　15時～,15:00,,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,いるかのテーブル,イルカノテーブル,子ども企画、大人企画、親子企画、ケアリーバー企画等様々なニーズに応えていく。,,東京都渋谷区幡ヶ谷3-66-4,,,,,,,,,,,,,,,,,,,月1回土曜日　16時～19時,16:00,19:00,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,wakuwakuこどもひろば,ワクワクコドモヒロバ,子育て世代の両親が忙しい土日祝日に子ども食堂を行う。,,東京都渋谷区幡ヶ谷3-70,,,,,,,,,,,,,,,,,,,月1～2回　10時～,10:00,,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,東京西ローターアクトクラブ,トウキョウニシローターアクトクラブ,東京西ローターアクトクラブ会員による社会貢献活動。国際色豊かな食事作り。,,東京都渋谷区幡ヶ谷2-50-2,,,,,,,,,,,,,,,,,,,不定期開催　13時～,13:00,,,,,,,,,,,,,,,笹塚小;中幡小;本町学園小,,,,,
131130,,東京都,渋谷区,ささはたっこ,ササハタッコ,施設内に体育室があり、食後に集団遊びを実施。,,東京都渋谷区笹塚1-50-16,,,,,,,,,,,,,,,,,,,第2金曜日　17時～19時,17:00,19:00,,,,,,,,,,,,,,笹塚小;中幡小;西原小,,,,,
131130,,東京都,渋谷区,やずぴょんち,ヤズピョンチ,鳥取県八頭町の食材を使った食事や大学生考案のワークショップを実施。,,東京都渋谷区幡ヶ谷2-50-2,,,,,,,,,,,,,,,,,,,第3日曜日　12時～15時30分,12:00,15:30,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,ささはたカフェガーデン,ササハタカフェガーデン,笹幡包括支援センターのテラスで、子どもから高齢者等を交えて多世代交流をはかる。,,東京都渋谷区幡ヶ谷2-42-15,,,,,,,,,,,,,,,,,,,第4土曜日　12時～15時,12:00,15:00,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
