全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131156,,東京都,杉並区,井草・ゆうゆう見守り隊～ふれあい食堂,イグサ・ユウユウミマモリタイフレアイショクドウ,,,東京都杉並区井草2-15-15,ゆうゆう井草館,,,(03)3390-9672,,,,,,,,,,,,,5,水,,17:00,19:00,,,,150,150,300,300,,,,,,,,,,,,
131156,,東京都,杉並区,こども食堂ホルモン良ちゃん,コドモショクドウホルモンリョウチャン,,,東京都杉並区井草1-6-3,下井草ホルモン良ちゃん,,,(03)3301-1223,,,,,,,,,,,,,5,日,,12:00,14:00,,,,,,,500,こども無料,,,,,,,,,,,
131156,,東京都,杉並区,四宮ごはん,シノミヤゴハン,,,東京都杉並区上井草2-28-3,ゆうゆう四宮館,,,(03)3396-7632,,,,,,,,,,,,,,,,,,,,,300,,,500,,,,,,,,,,,,現在休止中
131156,,東京都,杉並区,OHANA食堂,オハナショクドウ,,,東京都杉並区井草2-15-15,ゆうゆう井草館,,,(03)5933-9229,,,,,,,,,,,,,5,火,,17:15,19:30,,,,,,,,無料または寄付,,,,,,,,,,,
131156,,東京都,杉並区,子ども食堂ほーぷ,コドモショクドウホープ,,,東京都杉並区上井草3-19-23,すぎのこ農園,,,,,,,,,,,,,,,,6,土,,11:00,13:00,,,,,,100,100,こども無料,,,,,,,,,,,
131156,,東京都,杉並区,むさしのパントリー,ムサシノパントリー,,,東京都杉並区下井草1-6-17,日本福音ルーテルむさしの教会,,,,,,,,,,,,,,,,5,木,,,,,,,,,,,こども・おとな無料,,,,,,,,,,,連絡先 yurumama.food@gmail.com
131156,,東京都,杉並区,西荻・寺子屋食堂,ニシオギ・テラコヤショクドウ,,,東京都杉並区西荻北4-4-4,コミュニティレストランかがやき亭,,,090-9006-3910,,,,,,,,,,,,,4,土,,16:30,18:00,,,,,,,200,こども無料,,,,,,,,,,,
131156,,東京都,杉並区,ばぁばら,バァバラ,,,（個別配送）,,,,,,,,,,,,,,,,,3,火,,,,,,,,,,,無料,,,,,,,,,,,連絡先 BYK03200@nifty.ne.jp
131156,,東京都,杉並区,ワイワイ食堂コーナー中高生タイムスペシャル,ワイワイショクドウコーナーチュウコウセイタイムスペシャル,,,東京都杉並区善福寺1-18-9,子ども・子育てプラザ善福寺マルチルーム,,,,,,,,,,,,,,,,5,水,,18:00,19:30,,中高生,,,200,200,200,,,,,,,,,,,,
131156,,東京都,杉並区,kosatenパントリー,コウサテンパントリー,,,東京都杉並区善福寺3-2-14,善福寺ゴールデンハイツ1F,,,080-7278-7815,,,,,,,,,,,,,5,土,,12:00,18:00,,,,,,,,こども・おとな無料,,,,,,,,,,,
131156,,東京都,杉並区,みんなの食堂@kosaten,ミンナノショクドウコウサテン,,,東京都杉並区善福寺3-2-14,善福寺ゴールデンハイツ1F,,,080-7278-7815,,,,,,,,,,,,,3,水,,12:00,18:00,,,,,,,,こども・おとな無料,,,,,,,,,,,
131156,,東京都,杉並区,みんなの食堂ルンルン,ミンナノショクドウルンルン,,,東京都杉並区善福寺2-24-8,,,,(03)6336-7291,,,,,,,,,,,,,3,水,,17:30,19:00,,,,100,,,300,,,,,,,,,,,,
131156,,東京都,杉並区,西荻クリキンディのひとしずく,ニシオギクリキンディノヒトシズク,,,東京都杉並区西荻北3-14-5,かきぞえ食堂,,,,,,,,,,,,,,,,5,日,,12:00,13:30,,,,,,,,こども・おとな無料,,,,,,,,,,,											無料弁当　連絡先はX(旧ツイッター)にて
131156,,東京都,杉並区,西荻クリキンディのひとしずく,ニシオギクリキンディノヒトシズク,,,東京都杉並区西荻北3-14-5,かきぞえ食堂,,,,,,,,,,,,,,,,4,水,,16:00,20:00,,,,,,,,,,,,,,,,,,,夕食付学習支援
131156,,東京都,杉並区,桃井・みんなde食堂(みんしょく),モモイ・ミンナデショクドウ(ミンショク),,,東京都杉並区桃井1-35-2,ゆうゆう桃井館,,,(03)3399-5025,,,,,,,,,,,,,5,火,,18:00,19:30,,,,,,,500,こども200円,,,,,,,,,,,
131156,,東京都,杉並区,にんじんキッズカフェ・荻窪ふれあいの家,ニンジンキッズカフェ・オギクボフレアイノイエ,,,東京都杉並区荻窪2-29-3,にんじん荻窪ふれあいの家,,,(03)3220-9637,,,,,,,,,,,,,5,日,,11:00,14:00,,,,,,300,300,こども無料,,,,,,,,,,,
131156,,東京都,杉並区,フードパントリーしょうけい,フードパントリーショウケイ,,,東京都杉並区荻窪3-41-24,天理教昭慶分教会,,,,,,,,,,,,,,,,8,,,,,,,,,,,300,こども100円,,,,,,,,,,,	連絡先 sho-k.hp@kss.biglobe.ne.jp
131156,,東京都,杉並区,ほたるパントリー,ホタルパントリー,,,東京都杉並区南荻窪4-6-11,荻窪栄光教会,,,080-7278-7815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131156,,東京都,杉並区,子ども食堂おぎよん,コドモショクドウオギヨン,,,東京都杉並区荻窪4-11-15,キャプテンズキャビン荻窪,,,(03)6311-0426,,,,,,,,,,,,,4,金,,17:00,20:00,,,,,,300,300,こども無料,,,,,,,,,,,
131156,,東京都,杉並区,しょうけいこども食堂,ショウケイコドモショクドウ,,,東京都杉並区荻窪3-41-24,天理教昭慶分教会,,,090-3526-7798,,,,,,,,,,,,,5,,,12:00,14:00,,,,,,300,300,こども100円,,,,,,,,,,,
131156,,東京都,杉並区,子ども食堂まんぷく,コドモショクドウマンプク,,,東京都杉並区荻窪5-10-22,三好屋ビル2F,,,,,,,,,,,,,,,,5,月,,17:00,20:00,,,,,,,300,高校生または18歳以下無料,,,,,,,,,,,連絡先 manpuku.kodomoshokudo@gmail.com
131156,,東京都,杉並区,キッチンあまぬま,キッチンアマヌマ,,,東京都杉並区天沼3-19-16,ウェルファーム杉並,,,,,,,,,,,,,,,,5,水,,17:00,19:30,,,,,,,,こども・おとな無料,,,,,,,,,,,連絡先 kitchenamanuma@gmail.com
