全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131199,,東京都,板橋区,まえのふれあいこども食堂,マエノフレアイコドモショクドウ,,,板橋区前野2-43-15,前野ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,板橋いずみ教会子ども食堂（ジョイフルクラブ）,イタバシイズミキョウカイコドモショクドウジョイフルクラブ,,,板橋区泉町52-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,陽ちゃん家こども食堂,ヨウチャンチコドモショクドウ,,,板橋区宮本町6-12,陽ちゃん家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,ことぶき子ども食堂,コトブキコドモショクドウ,,,板橋区相生町8-3　1F,フェリチータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,南蔵院こども会,ナンゾウインコドモカイ,,,板橋区蓮沼町48-8,南蔵院ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,しむらん通り食堂,シムランドオリショクドウ,,,"板橋区志村1-35-15 ",志村銀座商店街事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,赤ちゃん食堂ねるこ,アカチャンショクドウネルコ,,,板橋区小豆沢2-21-17-302,スムスビ一級建築士事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,かもめこども食堂,カモメコドモショクドウ,,,"板橋区東坂下1-12-7 ",東坂下デイサービスセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,いずみの苑コミュニティ弁当,イズミノソノコミュニティベントウ,,,板橋区東坂下 2-2-22,特別養護老人ホームいずみの苑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,NPO板橋こども食堂,エヌピーオーイタバシコドモショクドウ,,,板橋区蓮根2-21-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
