﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131202,1,東京都,練馬区,大泉まちの子ども食堂,オオイズミマチノコドモショクドウ,,,東京都練馬区大泉学園町5-6-17,まちの駅大泉学園,,,(03)3978-0207,,,,,,https://www.facebook.com/まちの駅大泉学園-518954241505597/,,,,,,NPO法人まちの駅大泉学園,5,土,,12:00,,,,,,,,,料金：子ども：100円 付添いの大人：200円,,,,,,,,,,,
131202,2,東京都,練馬区,おおいずみ子ども食堂,オオイズミコドモショクドウ,,,東京都練馬区東大泉5‐35‐12,NPO法人おちゃ福,,,(090)1790-1634,,,,,,,,,,,,みんなが育つねりま,5,土,,17:30,,,,0,0,0,0,300,,電話;SMS,,,,1,,,,,,
131202,3,東京都,練馬区,子ども交流食堂たまっこ,コドモコウリュウショクドウタマッコ,,,東京都練馬区豊玉中3-3-12,社会福祉法人 奉優会　練馬区立はつらつセンター豊玉,,,(03)5912-6401,,,,,,http://toyotama.foryou.or.jp/,,,,,,子ども交流食堂たまっこ練馬区立はつらつセンター豊玉（社会福祉法人 奉優会）,5,土,,12:00,14:00,,,,,,,,料金：16歳未満：無料 16歳以上：200円,,,30,,,,,,,,
131202,4,東京都,練馬区,桜台子育て応援食堂,サクラダイコソダテオウエンショクドウ,,,東京都練馬区豊玉北１-12-３,東京子ども子育て応援団,,,(080)5503-7151,,,,,,http://kodomoshokudo.com,,,,,,公益社団法人東京子ども子育て応援団桜台子育て応援食堂事務局,4,火,,17:30,19:30,,,,,,,,子ども・保護者：無料、その他：300円,,,,1,,,,,,,
131202,5,東京都,練馬区,石神井ゆうやけ子ども食堂,シャクジイユウヤケコドモショクドウ,,,東京都練馬区石神井町1-24-6,原田ビル3階,,,(03)3997-9324,,,,,,http://nayutaflat3.blogspot.com/,,,,,,フリースペースなゆたふらっと,5,日,,18:00,20:00,,,0,0,0,0,300,,,,,,,,,,,,
131202,6,東京都,練馬区,太陽の子東大泉保育園こども食堂,タイヨウノコヒガシオオイズミホイクエンコドモショクドウ,,,東京都練馬区東大泉2-9-16,太陽の子 東大泉保育園,,,(03)5947-5880,,,,,,https://www.kidslifenursery.com/base/nerima/higashioizumi/,,,,,,ＨＩＴＯＷＡキッズライフ株式会社,5,木,,17:30,19:00,,,100,100,100,100,300,,電話,前日午後5時までに事前予約（電話）,,,,,,,,,
131202,7,東京都,練馬区,てへっ！こども食堂,テヘッコドモショクドウ,,,東京都練馬区高松4-1-28むつみ荘,てへっ！こども食堂および事業所,,,(090)9324-3373,,,,,,https://teamroom.jp/homepage/6844,,,,,,一般社団法人地域けあサポート４７,4,木日,,,,夏季（4月～10月）18:00　冬季（11月～3月）17:00,,,,,,,200円/食：お子様連れ保護者の方　中学生以下のお子様　300円/食：中学卒業～学生資格者(年齢無関係）、22歳まで（学生資格無関係）の方  60歳以上の高齢者　500円/食：その他の方 ※ご寄付食も可能です。,,,,,,,,,,,
131202,8,東京都,練馬区,どんぐりの家こども食堂,ドングリノイエコドモショクドウ,,,東京都練馬区土支田2-22-15,どんぐりの家,,,,,,,,,"https://www.facebook.com/dongurinoie.
doshida/",,,,,,どんぐりの家,5,土,,11:30,14:00,,,200,200,200,200,500,,,,,,,,,,,,
131202,9,東京都,練馬区,ねりまこども食堂,ネリマコドモショクドウ,,,東京都練馬区谷原1-3-7,真宗会館2階食堂,,,(070)1315-0141,,(03)5393-0810,担当 真宗会館 藤井,,,http://nerima-kodomo.net,,,,,,認定NPO法人ねりまこども食堂,4,月,,18:00,20:00,,,0,0,0,0,300,,,,,1,,,,,,,
131202,10,東京都,練馬区,練馬地域ふれあい食堂,ネリマチイキフレアイショクドウ,,,東京都練馬区練馬4-2-3,"厚生文化会館 ",,,(090)6951-6536,,,,,,,,,,,,NPO法人練馬人権センター部落解放同盟練馬支部,5,水,,18:00,20:00,,,0,0,0,0,300,,,,,,,,,,,,
