﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131229,,東京都,葛飾区,あおとこども食堂,アオトコドモショクドウ,"経済的困窮、障がいや病気、ネグレクト等、子どもが食事や社会的体験の機会に困難を抱えている家庭を支援する。
特に困難を抱えている家庭でなくても、誰でも遊んだり休んだりできる「居場所」を提供することによって、誰も孤立することのない地域づくりに貢献する。",,東京都葛飾区青戸3－14,UR青戸第一団地第一集会所,,,080-2838-0641,,,,,(03)6240-7142,http://rainbow-ribbon-net.org,rainbow.ribbon.mail@gmail.com,,,,,NPO法人レインボーリボン,2,土,毎月第2・第4土曜日,15:00,17:00,夏季は30分後ろ倒し,なし,0,0,0,0,0,,Line；Googleフォーム,,,1,1,,かつしか子ども食堂・居場所づくりネットワーク,,,,
131229,,東京都,葛飾区,立石みんな子ども食堂,タテイシミンナコドモショクドウ,こども食堂を行うことにより、地域の人々に交流の場を提供し、 孤立した人たちとの繋がりを通じ、地域活性化をはかっていくこと。,,東京都葛飾区立石1丁目21-12 自由の庭(レンタルスペース),,,,080-3341-9016,（代表）,,,,,https://www.facebook.com/tateisikodomo/,minnnakodomo@gmail.com,,,,,,,,毎月第１第３木曜日,17:00,20:00,,どなたでも,0,0,0,0,500,,LINE公式；Facebookメッセージ；電話,,20,,,,かつしか子ども食堂・居場所づくりネットワーク,,,,
131229,,東京都,葛飾区,たていしこども食堂実行委員会,タテイシコドモショクドウジッコウイインカイ,不登校の子供の為の食事提供,,東京都葛飾区立石1丁目21−12 スペース杉,,,,080-3341-9016,（代表）,,,,,https://www.facebook.com/tateisikodomo/,minnnakodomo@gmail.com,,,,,,,,毎月第１第３木曜日,17:00,20:00,,どなたでも,0,0,0,0,,,LINE公式；Facebookメッセージ；電話,,20,,,,かつしか子ども食堂・居場所づくりネットワーク,,,,
131229,,東京都,葛飾区,えまいまキッチン,エマイマキッチン,地域の多世代交流とコミュニティづくりからの防災力強化,食事提供、エンタメコンテンツ提供,東京都葛飾区亀有3-32-3-2F,防災コミュニティスペースえまいま,,,(03)6662-4440,（代表）,,,,,https://emeima.com/,info@emeima.com,,,,,子供支援団体スパイス/地域支援団体えまいま,1,日,第3日曜日,11:30,13:30,平日も不定期開催,誰でもどうぞ,0,0,0,0,300,一部、こどもも有料の日あり,LINE,都度フォームより申込み,100,1,1,,かつしか子ども食堂・居場所づくりネットワーク,,https://cdn.peraichi.com/userData/57d5e478-0d28-475b-ad09-173a0a0000c2/img/627f5e2e6a33d/original.png,,
131229,,東京都,葛飾区,青空っ子こども食堂,ソラッココドモショクドウ,,,東京都葛飾区お花茶屋3-5-6,,,,,,,,,,https://sorakko2011.wixsite.com/shokudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131229,,東京都,葛飾区,こども食堂　トコ,コドモショクドウトコ,多様な環境下にある18歳未満の子どもたちが健全に成長していけるための、また子育て中の保護者の方が笑顔で安心できる居場所づくりを目指す,,東京都葛飾区東水元2-35-16,,35.7807536,139.868906,(03)3607-2460,（代表）,090-4174-9351,（事務・会計担当：髙山）,,,,akokuma0517@gmail.com,（代表）,tit.sato5@gmail.com,（事務・会計担当：髙山）,,,5,水木,不定,16:00,19:00,10月～3月の冬期に限り小学生は16：00～18：00,誰でも,0,0,0,0,300,,LINEにて,,60,,,,,,,,テイクアウト対応
131229,,東京都,葛飾区,ほっこり食堂,ホッコリショクドウ,放課後、ひとりで過ごしがちな子どもの交流の場として,,東京都葛飾区立石8-51-7,立石宮元町会会館,,,,（代表）03－3691－9707,,,,,,ikekazu.0912@docomo.ne.jp,,,,,,1,,第２金曜日,16:00,18:30,,小学生とその家族,0,0,0,0,200,,予約なし,,80,,,,,,,,現在はアレルギー対応は行っていない
131229,,東京都,葛飾区,ハーフタイム月曜たまり場,ハーフタイムゲツヨウタマリバ,生きづらさを抱えた子どもたちへの寄り添い支援,生活相談・学習支援,非公開,非公開,,,090-5827-4346,理事長,,,,,https://halftime2010.wixsite.com/halftime,k.halftime@live.jp,団体アドレス,,,1011805002666,NPO法人ハーフタイム,1,月,毎週,,非公開,無し,生きづらさを抱えた子ども,0,0,0,0,0,,事前の問合せ,,,1,1,,かつしか子ども食堂・居場所づくりネットワーク、かつしか子ども・若者応援ネットワーク,,,,
131229,,東京都,葛飾区,ハーフタイム水曜たまり場,ハーフタイムスイヨウタマリバ,生きづらさを抱えた子どもたちへの寄り添い支援,生活相談・学習支援,非公開,非公開,,,090-5827-4346,理事長,,,,,https://halftime2010.wixsite.com/halftime,k.halftime@live.jp,団体アドレス,,,1011805002666,NPO法人ハーフタイム,1,水,毎週,,非公開,無し,生きづらさを抱えた子ども,0,0,0,0,0,,事前の問合せ,,,1,1,,かつしか子ども食堂・居場所づくりネットワーク、かつしか子ども・若者応援ネットワーク,,,,
131229,,東京都,葛飾区,ハーフタイム日曜たまり場,ハーフタイムニチヨウタマリバ,生きづらさを抱えた子どもたちへの寄り添い支援,生活相談・学習支援,非公開,非公開,,,090-5827-4346,理事長,,,,,https://halftime2010.wixsite.com/halftime,k.halftime@live.jp,団体アドレス,,,1011805002666,NPO法人ハーフタイム,1,日,月2,,非公開,無し,生きづらさを抱えた子ども,0,0,0,0,0,,事前の問合せ,,,1,1,,かつしか子ども食堂・居場所づくりネットワーク、かつしか子ども・若者応援ネットワーク,,,,
131229,,東京都,葛飾区,マミー子ども食堂,マミーコドモショクドウ,食事の提供,食事提供,東金町4-7-7,レジデンスULU101号室,,,080-1063-0014,,,,,,,,,,,,,4,日,,12:00,13:00,,生活困窮家庭、母子家庭等中心,0,0,0,0,0,,ライン,,16,,1,,葛飾子育てネットワーク,,,,
131229,,東京都,葛飾区,親子の笑顔育みプロジェクト,オヤコノエガオハグクミプロジェクト,地域で暮らすひとり親世帯等への自立支援,・お弁当配布・居場所および食事提供、学習および就労支援、多様な体験機会の提供等,非公開,,,,(03)6231-3180,（代表）,,（事務担当：樽野）,,,https://ayumien1956.com/,ayumi-office@ayumien1956.com,（代表）,t-taruno@ayumien1956.com,（事務担当：樽野）,"9011805000902 ",社会福祉法人大龍会,,,毎日,09:00,20:00,,,0,0,0,0,0,,ホームページ、公式LINE,,,,,,,,,,
