全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132012,,東京都,八王子市,こすもす・だれでも食堂,コスモス・ダレデモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,はちおうじ子ども食堂,ハチオウジコドモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,ほいっぷ食堂,ホイップショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,ほっこり食堂,ホッコリショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,お茶の間「民」,オチャノマタミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,光明八木町食堂,コウミョウヤギチョウショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,すまいるカフェ,スマイルカフェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,バラエティクラブ,バラエティクラブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,石川子ども食堂,イシカワコドモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,しろくまごはん,シロクマゴハン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,子ども食堂「にこにこ」,コドモショクドウニコニコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,ゆぎのこ食堂こっしーの,ユギノコショクドウコッシーノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,すずらん食堂,スズランショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,さくら子ども食堂,サクラコドモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,dattochi　みんなの食堂,ダットッチミンナノショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,なかよし子ども食堂,ナカヨシコドモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,虹色食堂,ニジイロショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,らみい子ども食堂,ラミイコドモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,きよぴー食堂,キヨピーショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,オンガタ食堂,オンガタショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,子ども食堂カフェ北野,コドモショクドウカフェキタノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,良い子食堂,ヨイコショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,子ども食堂「キッチンゆぎのや」,コドモショクドウキッチンユギノヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
