﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132055,"132055171501 ",東京都,青梅市,武尊塾,ブソンジュク,,学習支援,東京都青梅市東青梅3-22-4,東京武尊会館,35.789616,139.278397,(0428)20-0770,,,,,,https://www.busonkai-busonjuku.jp/,,,,,8013105001441,社会福祉法人東京武尊会,3,月木,,16:00,20:00,,,,200,200,,,,,,,,,,,,,,
132055,"132055171502 ",東京都,青梅市,すぺーすまゆだま,スペースマユダマ,,,東京都青梅市友田町3-96-1,,35.772816,139.288696,(0428)78-3304,,,,,,https://www.mayudama2018.jp/,,,,,2013105001083,社会福祉法人長淵福祉会カントリービラ青梅,3,金,,16:00,19:00,,,0,0,0,0,0,,,,,,,,,,,,
132055,"132055171503 ",東京都,青梅市,か～もくの会,カーモクノカイ,,,東京都青梅市勝沼3-78,KTホール,35.789818,139.266708,(0428)24-8981,,,,,,,,,,,5013105001205,特定非営利活動法人子どもと文化のNPO子ども劇場西多摩,3,火,,17:00,19:00,,,,0,0,0,,,,,,,,,,,,,
132055,"132055171504 ",東京都,青梅市,子どもFREE・CAFE,コドモフリーカフェ,,,東京都青梅市勝沼3-78,KTホール,35.789818,139.266708,(0428)24-8981,,,,,,,,,,,5013105001205,特定非営利活動法人子どもと文化のNPO子ども劇場西多摩,1,水木金土日,,10:00,17:00,,,0,0,0,0,,,,,,,,,,,,,
132055,"132055171505 ",東京都,青梅市,なかま亭,ナカヤマテイ,,,東京都青梅市今寺4-6-25,,35.79657,139.299545,(0428)32-8825,,,,,,,,,,,5013105001213,社会福祉法人青梅なかまの会,3,土,,10:30,13:00,,,0,0,0,,,,,,,,1,,,,,,
132055,"132055171506 ",東京都,青梅市,どんぐりやま,ドングリヤマ,,,東京都青梅市今寺3-379-8,,35.798805,139.298676,090-3049-4691,,,,,,http://donguriyama2020.com/,,,,,2013105001752,特定非営利活動法人子どもステイションどんぐりやま,5,水,,17:00,18:00,,,,100,200,200,300,,,,,,1,,,,,,
132055,"132055171507 ",東京都,青梅市,ゆうやけ子ども食堂かすみ,ユウヤケコドモショクドウカスミ,,,東京都青梅市藤橋2-614-18,福わ家,35.79903,139.301941,090-3049-4691,,,,,,,,,,,2013105001752,特定非営利活動法人子どもステイションどんぐりやま,5,金,,16:00,19:00,毎月第２金曜日,,,100,200,200,300,,,,,,1,,,,,,
132055,"132055171508 ",東京都,青梅市,Kanpa cafe mio,カンパカフェミーオ,,,東京都青梅市勝沼3-78,KTホールぶらりカフェ,35.789818,139.266708,080-5487-9798,,,,,,,,,,,,,3,木,偶数月の第３土曜日,15:00,19:00,土曜日は、10:00～19:00,,0,0,0,0,,,,,,,,,,,,,
132055,"132055171509 ",東京都,青梅市,和楽倶楽部,ワラククラブ,,,東京都青梅市今井2,七日市場公会堂,35.805725,139.312744,090-5586-9494,,,,,,,,,,,,,5,土,,15:00,18:00,,,100,100,100,300,300,70歳以上は200円,,,,,,,,,,,
132055,"132055171510 ",東京都,青梅市,CAFE TOIRO,カフェトイロ,,,東京都青梅市野上町3-19-4,,35.789551,139.290253,(0428)84-2650,,,,,,https://www.cafe-toiro.jp/,,,,,4030001108125,株式会社モアスマイルプロジェクト,2,月水金,,16:30,18:00,,,,0,0,0,,,,,,,,,,,,,
