﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132063,1,東京都,府中市,あおばこどもの居場所,アオバコドモノイバショ,こどもの健やかな育ちを通して地域のコミュニティ作りを支援する。,学習支援,東京都府中市紅葉丘1-35,紅葉丘公会堂,,,090-4240-4603,,,,,(042)336-1616,https://fuchu-planet.jp/organizations/169,,,,,,,5,日,,11:00,12:00,,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,2,東京都,府中市,いっちゃん家わくわく子ども食堂,イッチャンチワクワクコドモショクドウ,,,東京都府中市住吉町5-17-7-101,テラッツァ,,,(042)306-5151,,,,,,,icchanshokudou@gmail.com,,,,,,5,日,,12:00,14:00,,,,,,,,,,,,,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,3,東京都,府中市,グレイスキッチン,グレイスキッチン,,フリースペース;無料物品コーナー,東京都府中市白糸台4-2-8,グレイスハウス,,,(042)306-7827,,,,,,https://gracekitchen.jimdofree.com/,0120gracekitchen@gmail.com,,,,,,5,土,,12:00,13:00,,,,,,,300,,予約フォーム,前日午後4時頃締切(早めに締め切る場合もある),,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,4,東京都,府中市,子ども食堂・なな,コドモショクドウ・ナナ,,,東京都府中市武蔵台2-2,武蔵台文化センター,,,090-2310-7355,,,,,,https://twitter.com/MusashidaiN,,,,,,,5,日,,12:00,14:00,,,,,,,,,,,,,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,5,東京都,府中市,こどもの居場所作り＠府中,コドモノイバショヅクリフチュウ,,,東京都府中市片町2-2,片町公会堂,,,090-1805-3977,,,,,,https://www.facebook.com/ibasho.fuchu,ibasho.fuchu@gmail.com,,,,,,5,月,,17:00,19:00,,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,6,東京都,府中市,新町こどもカレー食堂,シンマチコドモカレーショクドウ,,学習支援,東京都府中市新町3-1,新町三丁目自治会 東集会場,,,090-3216-8669,,,,,,,info@npo-amatama.com,,,,,,5,土,,11:30,14:30,,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,7,東京都,府中市,とうきょうどけん子ども食堂,トウキョウドケンコドモショクドウ,,,東京都府中市晴見町2-15-5,東京土建 府中国立支部,,,(042)363-6554,,,,,,https://twitter.com/tokyodokenFK,,,,,,,5,土,,17:30,19:30,,,,,,,,,,,,,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,8,東京都,府中市,にっころ食堂,ニッコロショクドウ,,,東京都府中市日新町4-46-7,,,,(042)354-1666,,,,,,https://twitter.com/nikkorosyokudou,,,,,,,5,火,,16:00,19:00,,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,9,東京都,府中市,ひがしふちゅう駅前こども食堂,ヒガシフチュウエキマエコドモショクドウ,,学習支援,東京都府中市清水が丘1-2,東府中公会堂,,,090-8646-5498,,,,,,https://hkodomoshokudou.jimdofree.com,hkodomoshokudou@gmail.com,,,,,,5,水,,17:30,19:00,11月～2月は17：00～18：30,,,,,,300,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,10,東京都,府中市,みんなの食堂,ミンナノショクドウ,,,"府中市宮町1-100 ",府中市市民活動センター プラッツ 料理室,,,090-8567-6188,,,,,,https://peraichi.com/landing_pages/view/minna-fuchu,183minna@gmail.com,,,,,,5,,,,,固定された開催曜日及び日時はないものの、月に１回のペースで開催,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
132063,11,東京都,府中市,ラ・メンサ・デリ・アンジェリ 天使の食卓,ラメンサデリアンジェリ テンシノショクタク,地域に開かれた教会を目指す。,学習支援,東京都府中市府中町1-40-11,カトリック府中教会,,,080-1048-1856,,,,,,,caritas12.fuchu@gmail.com,,,,,,4,土,,11:30,13:30,,,,,,,,,,,,1,,,府中市こども食堂ネットワーク「100人こども食堂」,,,,
