﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132080,1,東京都,調布市,緑ヶ丘こどもフリースペースごりら,ミドリガオカコドモフリースペースゴリラ,,,東京都調布市緑ヶ丘2-18-49,緑ヶ丘地域福祉センター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,2,東京都,調布市,みんな食堂「仙川スープ」,ミンナショクドウセンガワスープ,,,東京都調布市仙川町1-19-10,POSTO,,,,,,,,,https://motion-gallery.net/projects/sengawasoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,3,東京都,調布市,坂の上のばあちゃん家,サカノウエノバアチャンチ,,,東京都調布市入間町3-22-5,入間町地域密着型認知症デイサービスぷちぽあん,,,,,,,,,http://lin.ee/mAOvjkU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,4,東京都,調布市,つつじヶ丘こども食堂,ツツジガオカコドモショクドウ,,,東京都調布市西つつじヶ丘1-48-24,シェアアパートメント調布,,,,,,,,,https://kodomoto154.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,5,東京都,調布市,子ども食堂深大寺東町,コドモショクドウジンダイジヒガシマチ,,,東京都調布市深大寺東町6-26-15,あいケアデイサービス深大寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,6,東京都,調布市,ハナこども食堂,ハナコドモショクドウ,,,東京都調布市深大寺東町7-23-2,野ヶ谷ふれあいの家,,,,,,,,,https://instagram.com/hanakidspark?igshid=YmMyMTA2M2Y=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,7,東京都,調布市,絵堂なかよし子ども食堂,エドウナカヨシコドモショクドウ,,,東京都調布市深大寺南町5-9,絵堂なかよし広場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,8,東京都,調布市,しばさき彩こども食堂,シバサキアヤコドモショクドウ,,,東京都調布市柴崎1-64-9,しばさき彩ステーション,,,,,,,,,https://shibasaki-irodori-station.jimdofree.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,9,東京都,調布市,さくら子育てステーション,サクラコソダテステーション,,,東京都調布市八雲台1-22-1,八雲台クリーンハイム103 家庭的保育事業施設たんぽぽ,,,,,,,,,http://tanpopo-hoiku.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132080,10,東京都,調布市,かしわの食堂（まい・夢）,カシワノショクドウマイム,,,東京都調布市佐須町2-18-1,祇園寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
