全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132098,1,東京都,町田市,にこにこ清風食堂,ニコニコセイフウショクドウ,食事支援,,東京都町田市金井6-15-1,金井中学校,35.57641,139.46245,(042)735-3000,,,,,,https://ameblo.jp/seifu-nikoniko/,,,,,7010605000627,社会福祉法人賛育会,5,木,,17:30,18:30,,,200,200,200,200,200,,,,80,,1,132098H00032,町田市子ども食堂ネットワーク,,,,
132098,2,東京都,町田市,みんなでごはん,ミンナデゴハン,食事支援,,東京都町田市小川3-2-3,たすけあい小川地域交流スペース,35.525053,139.467785,090-2903-3683,,,,,,https://minnadegohanmachida.jimdosite.com/,,,,,,みんなで　ごはん,5,金,,16:00,20:00,,,50,100,100,100,300,,,,,,,132098H00020,町田市子ども食堂ネットワーク,,,,
132098,3,東京都,町田市,コミュニティキッチン鶴川,コミュニティキッチンツルカワ,食事支援,,東京都町田市能ヶ谷3-2-1,鶴川地域コミュニティRELACE,35.584662,139.486155,070-5013-0915,,,,,,https://m.facebook.com/commufire/,,,,,9012305001713,NPO法人コミュニティフレンド,5,土,,17:00,19:00,,,100,100,100,100,300,,グーグルフォーム,,,,,132098H00027,町田市子ども食堂ネットワーク,,,,
132098,4,東京都,町田市,ふくちゃん食堂,フクチャンショクドウ,食事支援,,東京都町田市野津田町38-2,ぐるんぱ放課後クラブ,35.584883,139.43348,(042)734-0631,,,,,,,,,,,1012305000219,社会福祉法人福音会,4,水,,16:00,19:30,,,300,300,300,300,300,,,事前登録必要；予約不要,,,,132098H00026,町田市子ども食堂ネットワーク,,,,
132098,5,東京都,町田市,レッツごはん,レッツゴハン,食事支援,,東京都町田市真光寺2-13-20,つるかわ台教会会堂,35.602697,139.468947,(042)737-7885,,,,,,,,,,,,チームレッツごはん,5,水,,,,第4水曜日(1)17：00～17：45　(2)17：45～18：30　15：00～18：00(食材配布）,,100,100,100,100,300,食材配布は無料,電話,,,,1,132098H00030,町田市子ども食堂ネットワーク,,,,
132098,6,東京都,町田市,おむすび食堂＆冒険遊び場おむすび,オムスビショクドウアンドボウケンアソビバオムスビ,食事支援,,東京都町田市玉川学園6-2-16,玉川学園なかよし公園,35.568379,139.46392,,,,,,,https://lit.link/OMUSUBi,omusubi.playpark@gmail.com,,,,6012305001988,一般社団法人OMUSUBi,5,土,,10:00,14:00,,,0,0,0,0,300,,,,,,,132098H00005,町田市子ども食堂ネットワーク,,,,
132098,7,東京都,町田市,キッチン南いただきます,キッチンミナミイタダキマス,食事支援,,東京都町田市南町田1-9-20,原クラブ会館,35.522782,139.467597,(042)796-0421,,,,,,,,,,,,キッチン南いただきますの会,5,土,,12:30,15:00,,,100,100,100,100,300,3歳以下は無料,,,,,,132098H00007,町田市子ども食堂ネットワーク,,,,
132098,8,東京都,町田市,めいちゃんの活き生き食堂,メイチャンノイキイキショクドウ,食事支援,,東京都町田市小山町1729-1,訪問看護ステーションまちきた内2階,35.595145,139.381966,(042)860-0309,,,,,,,,,,,4012301010508,株式会社メイコミット,8,,,,,(会食)16：30～18：30　(配食)12：00～18：00,,100,100,100,100,300,,,,,,,132098H00029,町田市子ども食堂ネットワーク,,,,
132098,9,東京都,町田市,きららボナペティこども食堂,キララボナペティコドモショクドウ,食事支援,,東京都町田市忠生1-5-3,きららデイリハてをつなごう,35.574021,139.424938,,,,,,,,,,,,3012305001462,NPO法人きらら,7,,,,,,,200,200,200,200,300,,,,,,,132098H00036,町田市子ども食堂ネットワーク,,,,
132098,10,東京都,町田市,みんなの子ども食堂さくらんぼう,ミンナノコドモショクドウサクランボウ,食事支援,,東京都町田市小山田桜台1-20,UR貸店舗5号室　ほっとスペースさくらさくら,35.590656,139.402832,090-4380-6298,,,,,,https://www.facebook.com/groups/sakuranbou,,,,,,みんなの子ども食堂さくらんぼう,3,火金土,,,,第2火曜日 17：30～　第2金曜日 18：00～　第3土曜日 10：00～　第4土曜日 12：00～,,0,0,0,0,500,食材配布、第3土曜日は大人も無料,,,,,,132098H00042,町田市子ども食堂ネットワーク,,,,
