全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132136,,東京都,東村山市,まちの縁側本町　夕ぐれ食堂,マチノエンガワホンチョウユウグレショクドウ,,,東京都東村山市本町4-1-8,,,,(042)306-3177,,,,,,,,,,,,,4,,毎月第2・4火曜日,16:30,18:00,,,0,0,0,0,300,18歳まで無料,,,,,,,,,,,"テイクアウト可
（要相談）"
132136,,東京都,東村山市,子ども食堂　リコード,コドモショクドウリコード,,,東京都東村山市本町3-9-40,,,,080-1396-2808,ランチカフェリコードの電話番号,,,,,,,,,,,,4,,いちごの日と肉の日(15日・29日）,,,変更の可能性あり,,0,0,0,0,,大人はカンパ制。18歳まで無料,,,,,,,,,,,"テイクアウト可
（要相談）"
132136,,東京都,東村山市,ふれあいこども食堂あおば,フレアイコドモショクドウアオバ,,,東京都東村山市青葉町2-25-66,ラポールあおば２階,,,(042)398-5350,,,,,,,,,,,,,5,,毎月最終土曜日,11:30,14:20,1部11:30～12:50、2部13:00～14:20,,0,0,0,0,,18歳まで無料。大人は要相談,,,,,1,,,,,,
132136,,東京都,東村山市,ふれあいこども食堂,フレアイコドモショクドウ,,,東京都東村山市栄町1-1-18,ラポール久米川ビル２階,,,(042)398-5350,,,,,,,,,,,,,4,,第1～3土曜日,11:30,14:20,1部11:30～12:50、2部13:00～14:20,,0,0,0,0,,18歳まで無料。大人は要相談,,,,,1,,,,,,
132136,,東京都,東村山市,にちよう食堂,ニチヨウショクドウ,,,東京都東村山市栄町1-29-34,,,,(042)306-4591,,,,,,,,,,,,,5,,第3日曜日,10:00,14:00,,,0,0,0,300,300,中学生まで無料,,,,,,,,,,,
132136,,東京都,東村山市,おひさま食堂,オヒサマショクドウ,,,東京都東村山市富士見町5-1-93,文楽カフェ,,,090-6155-0386,,,,,,,,,,,,,4,,毎月第2・4火曜日,11:30,12:30,,,100,100,100,100,300,18歳まで100円,,,,,,,,,,,"テイクアウト可
バッグ持参"
132136,,東京都,東村山市,万福食堂,マンプクショクドウ,,,東京都東村山市廻田町3-12-6,廻田ふれあいセンター3階,,,(042)391-1732,,,,,,,,,,,,,5,,原則第3日曜日（要問合せ）,11:00,13:00,,,0,0,0,,,中学生まで無料,,,,,,,,,,,"テイクアウト可
（要相談）"
132136,,東京都,東村山市,東村山地域食堂ふたば,ヒガシムラヤマチイキショクドウフタバ,,,東京都東村山市野口町1-15-5,グランドハイツ野口１階,,,(042)306-0721,,,,,,,,,,,,,5,,第3土曜日,12:00,,調理10:00～、食事12:00～,,100,100,100,100,200,18歳まで100円,,,,,,,,,,,
132136,,東京都,東村山市,SOMPO流　子ども食堂（八坂）,ソンポリュウコドモショクドウヤサカ,,,東京都東村山市栄町3-23-1,,,,(042)396-3133,,,,,,,,,,,,,5,,第4土曜日,11:30,13:30,,,0,0,0,0,300,18歳まで無料,,,,,,,,,,,
132136,,東京都,東村山市,SOMPO流　子ども食堂（萩山）,ソンポリュウコドモショクドウハギヤマ,,,東京都東村山市萩山町2-9-46,,,,(042)399-0222,,,,,,,,,,,,,5,,第3土曜日,12:30,14:30,,,0,0,0,0,300,18歳まで無料,,,,,,,,,,,
132136,,東京都,東村山市,SOMPO流　子ども食堂（久米川）,ソンポリュウコドモショクドウクメガワ,,,東京都東村山市美住町1-19-10,,,,(042)390-2371,,,,,,,,,,,,,5,,第2土曜日,12:00,15:00,,,0,0,0,0,300,18歳まで無料,,,,,,,,,,,
132136,,東京都,東村山市,子どもたちのお弁当屋さん,コドモタチノオベントウヤサン,,,東京都東村山市富士見町2-19-23,,,,(042)395-7579,,,,,,,,,,,,,8,,,16:00,18:00,,,100,100,100,100,,20歳まで100円,,,,,,,,,,,テイクアウトのみ可（要予約）
132136,,東京都,東村山市,恩多こども食堂,オンタコドモショクドウ,,,東京都東村山市恩多町3-3-22,集会所（101号室）,,,080-9024-3110,,,,,,,,,,,,,3,金,,16:00,19:00,要問合せ,,0,0,0,0,300,18歳以下無料,,,,,,,,,,,
