全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132152,1,東京都,国立市,つり舟の子ども食堂,ツリブネノコドモショクドウ,,,"東京都国立市東 1-15-18 ",,35.69808084,139.4474999,(042)576-9910,,,,,,,,,,,,深川つり舟,1,月火木金土日,,11:00,14:00,,,0,0,0,0,,大人は応相談,電話,,10,,1,,,,,,
132152,2,東京都,国立市,おいでよ。ごはんや,オイデヨゴハンヤ,,,東京都国立市富士見台1-17-8,,35.68161091,139.4472612,080-8707-0889,,,,,,,,,,,,おいでよ。ごはんや,2,金土日,,18:30,20:00,,,100,100,100,100,,大人はカンパ,電話,,10,,1,,,,,,
132152,3,東京都,国立市,カサムシカ子ども食堂,カサムシカコドモショクドウ,,,東京都国立市中 3-5-60,,35.68929325,139.4424981,080-5878-2364,,,,,,,,,,,,ワーカーズ・まちの縁がわ国立,3,土,,11:30,13:00,,,0,0,0,0,300,,電話,,35,,1,,,,,,
132152,4,東京都,国立市,たまご（多孫・他孫）食堂,タマゴショクドウ,,,東京都国立市中2-10-7,,35.69293411,139.4394076,(042)580-0294,,,,,,https://www.facebook.com/nakanakaiikai/,,,,,,なかなかいいね！プロジェクト「なかなかいい会」,4,日,,11:30,13:30,,,0,0,0,0,500,,LINE,,90,,1,,,,,,
132152,5,東京都,国立市,おいしいじかん,オイシイジカン,,,東京都国立市富士見台2-39-1,,35.68761301,139.4438361,090-1032-2433,,,,,,,,,,,,おいしいじかん,5,水,,17:00,18:30,,,0,0,0,0,300,,,,130,,1,,,,,,
132152,6,東京都,国立市,きたまち学☆食,キタマチガクショク,,学習支援,東京都国立市北3-23-1,,35.70110454,139.4303275,090-2243-4307,,,,,,,,,,,,Rittou CAMP,7,,,,,,対象は子どものみ,0,0,0,0,,,,,25,,1,,,,,,
132152,7,東京都,国立市,OSUSOWAKE食堂,オスソワケショクドウ,,,東京都国立市東 3-18-32,,35.69164296,139.4547772,080-4444-2018,,,,,,https://osusowake-online.com,,,,,"5012805002990 ",一般社団法人OSUSOWAKE,4,日,,11:00,13:00,,,0,0,0,0,100,,HP,,100,1,1,,,,,,
132152,8,東京都,国立市,ぐるぐる食堂,グルグルショクドウ,,,東京都国立市富士見台1-8-38,,35.68347175,139.4490542,090-6118-9071,,,,,,,,,,,,ぐるぐる食堂,4,日,,11:30,14:00,,,0,0,0,0,300,,,,40,,,,,,,,
132152,9,東京都,国立市,ラグー,ラグー,,,東京都国立市中1-15-6,,35.69682087,139.4430095,(042)577-5566,,,,,,,,,,,,ラグー,3,土,,12:00,14:00,,,0,0,0,0,,大人不明,,,10,,,,,,,,
132152,10,東京都,国立市,SOMPO流子ども食堂,ソンポリュウコドモショクドウ,,,東京都国立市青柳1-21-14,,35.68362927,139.4256635,(042)548-1811,,,,,(042)548-1812,,,,,,,SOMPOケア株式会社,5,土,,13:00,15:00,,,0,0,0,0,300,,,,10,,,,,,,,
132152,11,東京都,国立市,くにちゃん食堂,クニチャンショクドウ,,,東京都国立市富士見台4-10-1,,35.68579502,139.4318817,(042)569-6213,,,,,,,,,,,,医療法人社団つくし会,5,日,,11:30,13:00,,,0,0,0,0,300,,,,10,,,,,,,,
132152,12,東京都,国立市,矢川の子がも食堂,ヤガワノコガモショクドウ,,,東京都国立市富士見台4-17-65,,35.68549131,139.4300278,090-3905-4924,,,,,,,hottfsyagawa@gmail.com,,,,,ほっと！フードサポート 矢川,5,,,12:00,13:00,,,0,0,0,0,300,,,,30,,,,,,,,
