全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132217,,東京都,清瀬市,おひさまごはんの会,オヒサマゴハンノカイ,貧困対策、孤食対策、子育て支援、地域づくり,,清瀬市松山3-12-17,,,,(042)497－3528,,,,,,https://www.facebook.com/ohisamanettowaku.kodomonoibashowithkiyose/,,,,,,おひさまネットワーク,3,金,,17:00,19:30,,要相談,0,0,0,0,無料,,要相談,,,,,,,,,,配食実施
132217,,東京都,清瀬市,おひさま松山,オヒサママツヤマ,貧困対策、孤食対策、子育て支援、地域づくり,,清瀬市松山3-13-16 松山集会所,,,,070-5586-5393,,,,,,https://www.facebook.com/ohisamanettowaku.kodomonoibashowithkiyose/,,,,,,おひさまネットワーク,3,木,,16:00,19:30,,おおむね１８歳未満,0,0,0,0,無料,,なし,,,,,,,,,,配食実施
132217,,東京都,清瀬市,おひさま野塩,オヒサマノシオ,貧困対策、孤食対策、子育て支援、地域づくり,,,,,,,,,,,,https://www.facebook.com/ohisamanettowaku.kodomonoibashowithkiyose/,,,,,,おひさまネットワーク,,,,,,,要相談,0,0,0,0,無料,,要相談,,,,,,,,,,配食実施
132217,,東京都,清瀬市,おひさま梅園,オヒサマウメゾノ,貧困対策、孤食対策、子育て支援、地域づくり,,,,,,,,,,,,https://www.facebook.com/ohisamanettowaku.kodomonoibashowithkiyose/,,,,,,おひさまネットワーク,,,,,,,要相談,0,0,0,0,無料,,要相談,,,,,,,,,,配食実施
132217,,東京都,清瀬市,そらいろ子ども食堂,ソライロコドモショクドウ,子どもの居場所づくり、異年齢交流、子育て・子育ち支援、貧困対策、孤食対策,,"清瀬市竹丘2-22-2
（開催場所の借家の所在地）",,,,080-5545-2416,,,,,,https://www.facebook.com/profile.php?id=100083220254061,aoisola.kodomo@gmail.com,,,,,ボランティア団体あおいそら,5,日,,13:15,"午後4時30分
（7月～9月の夏季は午後5時）",開催日はチラシ等で3か月ごとにお知らせ。,未就学児は保護者同伴が必要,0,0,0,0,無料,,LINE公式アカウント・メール・電話のいずれかで事前予約,開催日の２日前までに予約。定員は子ども、保護者、その他、合計最大18名,18,,1,清瀬市立第三小、清瀬市立第七小,,,,,必要に応じて配食も実施
132217,,東京都,清瀬市,にこにこ子供食堂,ニコニココドモショクドウ,"貧困策・子育て支援
",,"清瀬市中清戸４－
８４７",清瀬中清戸住宅第3集会室,,,090-5398-8334,,,,,,,megu-rou@hb.tp1.jp,,,,,,5,木,,15:00,19:00,,"誰でも参加可能
小学生は親の了解が必要",0,0,0,,300,,電話で事前予約が必要だがなくても対応可能,定員は子ども8人、保護者8人,16,,,"8小
清小",,,,,配食必要なら対応可能。テイクアウトは未実施だが今後必要なら対応可能
132217,,東京都,清瀬市,ゆいゆい親子食堂,ユイユイオヤコショクドウ,子育て支援、ひとり親家庭支援、ネットワーク作り,,清瀬市梅園2-2-29,"みんなのお家
ゆいゆい",,,(042)452-9765,(042)497-2308,,,,(042)497-2308,https://www.with-ai.net/,info@with-ai.net,,,,,特定非営利活動法人ウイズアイ,4,土,"第１土曜日
第3土曜日",17:00,19:30,食事時間は午後6時頃から,ひとり親家庭の親子,500,500,500,500,500,1世帯あたりの金額。(1世帯あたりの子どもの人数は問わない),電話で事前予約が望ましい,定員子ども15名程度、保護者6名、その他3名,24,,1,六小、三小、七小、二中、,,,,,配食も実施。テイクアウトは応相談
132217,,東京都,清瀬市,わくわく子ども食堂,ワクワクコドモショクドウ,子どもの居場所と食事の提供,,清瀬市上清戸2-12-26,武蔵野友の家,,,,,,,,,,wakwakshokudo@gmail.com,,,,,わくわく子ども食堂,5,土,,午前10時(又は午後5時),午後1時(又は午後7時),土曜の昼に開催しているが、第〇土曜日かは決まっておらず不定期,主に小学生対象（清小のみちらし配布）　　　保護者は見守りのお手伝いをしてくださる方は参加可能,,0,,,0,,ちらしのQRコードよりメールで申し込み,"調理から参加する人と食べるだけでの参加を分けて申し込み受付する場合がある。
定員は子ども12人（場合により食べるだけの人を別に5人）",17,,,清小,,,,,子どもと一緒に調理して食べる形をとっている
132217,,東京都,清瀬市,清瀬旭が丘子ども食堂,キヨセアサヒガオカコドモショクドウ,子どもの居場所、子育て支援、孤食、ひとり親家庭支援、貧困対策,,清瀬市旭が丘1‐278,清瀬旭が丘教会内,,,(042)493-1173,(042)493-1173,,,,(042)493-1173,,mameglomin@gmail.com,,,,,任意団体清瀬旭が丘子ども食堂,5,金,第４金曜日,17:00,19:00,,保護者の了解があれば子どもだけの参加可、未就園児は保護者同伴が必要,0,0,0,0,200,ひとり親家庭は大人も無料,電話で事前予約,前日までに予約。定員は子ども30名、保護者20名、その他10名,60,1,1,清明小、八小、三中,,,,,配食も実施
132217,,東京都,清瀬市,ぽかぽか食堂＆グリーンタウン,ポカポカショクドウアンドグリーンタウン,貧困対策　障がい児支援　子育て支援,,清瀬市下清戸１－１７,グリーンタウン清戸住宅会議室,,,090-3318-2853,(042)492-6309,,,,(042)492-6309,,mitikoyayota@msj.biglobe.ne.jp,,,,,ぽかぽか食堂＆グリーンタウン（代表　八代田道子）,5,木,木曜日（第3もしくは第4）,17:30,19:00,社会事業大学BBSサークルの学生と共催のため、月によって第3もしくは第4のいずれかになる,貧困家庭等の幼児、小・中学生。高校生は主催者が参加を認めた者に限る。大人は原則参加不可。（ただし、幼児の付き添い者は500円）,0,0,0,0,500,2024年2月から主催者が参加を認めた者も参加費なし,電話で事前予約,開催日の4日前までに予約。定員は子ども10名、保護者3名,13,,1,十小,,,,,配食なし
