﻿全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132241,1,東京都,多摩市,みんなの食堂・スプーン,ミンナノショクドウ・スプーン,,,東京都多摩市一ノ宮1-18-7,,,,,,,,,,,,,,,,みんなの食堂・スプーン,6,,,,,,,,,,,,,,,,,,,,,,,
132241,2,東京都,多摩市,だれでも食堂,ダレデモショクドウ,,,東京都多摩市落合3-17-1,,,,,,,,,,,,,,,,特定非営利活動法人アピュイ,3,,,,,,,,,,,,,,,,,,,,,,,
132241,3,東京都,多摩市,わくわく子ども食堂,ワクワクコドモショクドウ,,,東京都多摩市東寺方626-2,,,,,,,,,,,,,,,,インテリアミヤザキ,5,,,,,,,,,,,,,,,,,,,,,,,
132241,4,東京都,多摩市,ハーモニーカフェ,ハーモニーカフェ,,,東京都多摩市諏訪4-2,,,,,,,,,,,,,,,,ハーモニークラブ,5,,,,,,,,,,,,,,,,,,,,,,,
132241,5,東京都,多摩市,子ども食堂　ほくの家,コドモショクドウホクノイエ,,,東京都多摩市聖ヶ丘2-22-3-1,,,,,,,,,,,,,,,,一般社団法人　祥鶴,3,,,,,,,,,,,,,,,,,,,,,,,
132241,6,東京都,多摩市,愛宕だれでも食堂,アタゴダレデモショクドウ,,,東京都多摩市愛宕1-1-1,,,,,,,,,,,,,,,,特定非営利活動法人　プレイルームゆづり葉の家,3,,,,,,,,,,,,,,,,,,,,,,,
132241,7,東京都,多摩市,子ども食堂　きっちん空,コドモショクドウキッチンソラ,,,東京都多摩市貝取1-47-9,,,,,,,,,,,,,,,,特定非営利活動法人　どんぐりパン,5,,,,,,,,,,,,,,,,,,,,,,,
132241,8,東京都,多摩市,ピンクララタマ子ども誰でも食堂,ピンクララタマコドモダレデモショクドウ,,,東京都多摩市一ノ宮3-5-24,,,,,,,,,,,,,,,,ピンクララタマ,5,,,,,,,,,,,,,,,,,,,,,,,
132241,9,東京都,多摩市,亀ハウス,カメハウス,,,東京都多摩市永山1-17-11-Ｂ1,,,,,,,,,,,,,,,,株式会社ライフジャーニー,3,,,,,,,,,,,,,,,,,,,,,,,
132241,10,東京都,多摩市,オリーブきっちん,オリーブキッチン,,,東京都多摩山王下1-13-13,,,,,,,,,,,,,,,,オリーブきっちん,5,,,,,,,,,,,,,,,,,,,,,,,
132241,11,東京都,多摩市,こども食堂　ほっこりキッチン,コドモショクドウホッコリキッチン,,,東京都多摩唐木田1-15-3,,,,,,,,,,,,,,,,こども食堂　ほっこりキッチン,5,,,,,,,,,,,,,,,,,,,,,,,
132241,12,東京都,多摩市,子ども食堂　福祉亭,コドモショクドウフクシテイ,,,東京都多摩市永山4-2-3-104,,,,,,,,,,,,,,,,特定非営利活動法人　福祉亭,5,,,,,,,,,,,,,,,,,,,,,,,
132241,13,東京都,多摩市,子どものひろば　リバティ,コドモノヒロバリバティ,,,東京都多摩市諏訪5-6-2-101,,,,,,,,,,,,,,,,社会福祉法人　こばと会,1,,,,,,,,,,,,,,,,,,,,,,,
132241,14,東京都,多摩市,みんなのしょくどう,ミンナノショクドウ,,,東京都多摩市馬引沢2-3-23,,,,,,,,,,,,,,,,関西居酒屋　必死のパッチ!!,5,,,,,,,,,,,,,,,,,,,,,,,
132241,15,東京都,多摩市,まんまるぱ～る,マンマルパール,,,東京都多摩市一ノ宮2-13-25,,,,,,,,,,,,,,,,まんまるぱ～る(認定栄養ケア・ステーション營養珍珠),5,,,,,,,,,,,,,,,,,,,,,,,
132241,16,東京都,多摩市,子ども食堂　ココっと,コドモショクドウココット,,,東京都多摩市一ノ宮1-11-26,,,,,,,,,,,,,,,,子ども食堂　ココっと,8,,,,,,,,,,,,,,,,,,,,,,,
132241,17,東京都,多摩市,こども食堂　えんそく,コドモショクドウエンソク,,,東京都多摩市和田2006-4,,,,,,,,,,,,,,,,こども食堂　えんそく,5,,,,,,,,,,,,,,,,,,,,,,,
132241,18,東京都,多摩市,メルティング・ダイニング,メルティング・ダイニング,,,東京都多摩市永山2-8-1,,,,,,,,,,,,,,,,メルティング・ポット,8,,,,,,,,,,,,,,,,,,,,,,,休止中（2023年12月12日時点）
