全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132292,,東京都,西東京市,わいわいクッキング,ワイワイクッキング,,,西東京市南町5-6-11,田無公民館,,,080-3174-5771,,,,,,,,,,,,西東京わいわいネット,5,土,第３土曜日,10:30,13:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,放課後キッチン・ごろごろ,ホウカゴキッチン・ゴロゴロ,,,西東京市緑町3-8,緑町3丁目アパート集会所,,,090-9323-1835,,,,,,,,,,,,放課後キッチン・ごろごろ,1,木,第３木曜日,16:00,18:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,飯もり山,コドモショクドウメシモリヤマ,,,"西東京市芝久保町3-11-3
",芝久保サロンしゃくなげ,,,,,,,,,,,,,,,子ども食堂　飯もり山,1,土,第３土曜日,16:30,18:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,やぎさわ子ども食堂,ヤギサワコドモショクドウ,,,西東京市柳沢2-11-13,,,,(042)458-0251,,,,,,,,,,,,西武柳沢キリスト教会,5,日,第２日曜日,17:00,18:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,子ども食堂　おひさまキッチン,コドモショクドウオヒサマキッチン,,,西東京市保谷町4-11-26,メトロウェストビルディング1階,,,(042)497-5070,,,,,,,,,,,,一般社団法人おひさま,1,月火水木金,,15:00,20:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,「木・々」　子ども食堂,モクモクコドモショクドウ,,,西東京市保谷町6-25-1,,,,(042)425-6800,,,,,,,,,,,,コミュニティー・レストラン「木・々」,5,日,第４日曜日,11:00,13:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こども食堂　陽気なキッチン　　,コドモショクドウヨウキナキッチン,,,西東京市緑町2-1-8,,,,(042)461-0363,,,,,,,,,,,,宗教法人天理教田無分教会,5,,毎月12日,14:00,19:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,浦野屋　やきとんてるてる　ひばりが丘店　子ども食堂,ウラノヤヤキトンテルテルヒバリガオカテンコドモショクドウ,,,西東京市ひばりが丘北4-2-24,,,,(042)439-4280,,,,,,,,,,,,浦野屋　やきとんてるてる　ひばりが丘店　子ども食堂,5,日,第３日曜日,12:00,14:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こども食堂　げんき,コドモショクドウゲンキ,,,西東京市富士町1-1-1,,,,070-1273-0547,,,,,,,,,,,,こども食堂　げんき,4,日土,第２日曜日、第４土曜日,11:30,14:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こひつじ食堂,コヒツジショクドウ,,,西東京市住吉町6-14-5,,,,080-9393-8464,,,,,,,,,,,,こひつじ食堂,5,土,第４土曜日,16:00,18:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,ＹＬこども食堂,ワイエルコドモショクドウ,,,西東京市ひばりが丘北1-7-14,,,,(042)439-3550,,,,,,,,,,,,一般社団法人YourLifestyle研究所,1,月火水木金土,,11:00,16:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こども食堂ジョイフル,コドモショクドウジョイフル,,,西東京市ひばりが丘北4-3-13,,,,(042)423-8377,,,,,,,,,,,,こども食堂ジョイフル,5,金,第４金曜日,17:00,19:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こども（おとな）食堂プネウマ,コドモショクドウプネウマ,,,西東京市東伏見5-9-6,仙人の家,,,090-4078-7506,,,,,,,,,,,,プネウマ　つどいの家,5,日,第１日曜日,11:30,13:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こどもカフェ「とんのいえ」,コドモカフェトンノイエ,,,西東京市泉町4-3-21,,,,090-6112-1687,,,,,,,,,,,,こどもカフェ「とんのいえ」,5,木,第４木曜日,15:30,17:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,ひばりが丘スープキッチン,ヒバリガオカスープキッチン,,,西東京市ひばりが丘2-12-16,,,,080-4608-3609,,,,,,,,,,,,ひばりが丘スープキッチン,3,水,毎週水曜日,18:00,19:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,こども・地域　あおぞら食堂,コドモチイキアオゾラショクドウ,,,西東京市向台町2-16-22,,,,(042)468-5133,,,,,,,,,,,,東京聖新会,5,土,第４土曜日,11:30,13:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家S保谷北町）,ソンポリュウノコドモショクドウソンポノイエエスホウヤキタマチ,,,西東京市北町6-1-28,,,,(042)439-0320,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,11:00,13:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家S保谷駅前）,ソンポリュウノコドモショクドウソンポノイエエスホウヤエキマエ,,,西東京市東町3-5-2,,,,(042)438-5520,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,11:30,15:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家S西東京泉町）,ソンポリュウノコドモショクドウソンポノイエエスニシトウキョウイズミチョウ,,,西東京市泉町2-14-13,,,,(042)438-6130,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,11:00,15:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家西東京）,ソンポリュウノコドモショクドウソンポノイエニシトウキョウ,,,西東京市中町6-5-12,,,,(042)425-8200,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第２土曜日,11:30,14:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家S武蔵野）,ソンポリュウノコドモショクドウソンポノイエエスムサシノ,,,西東京市新町5-14-14,,,,(0422)50-8515,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,11:30,15:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家柳沢）,ソンポリュウノコドモショクドウソンポノイエヤギサワ,,,西東京市柳沢3-5-27,,,,(042)460-8080,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,12:00,15:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家S東伏見）,ソンポリュウノコドモショクドウソンポノイエエスヒガシフシミ,,,西東京市東伏見4-4-25,,,,(042)450-6601,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第２土曜日,12:00,14:00,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,SOMPO流の子ども食堂（そんぽの家ひばりが丘）,ソンポリュウノコドモショクドウソンポノイエヒバリガオカ,,,西東京市西原町5-3-12,,,,(042)460-5503,,,,,,,,,,,,"ＳＯＭＰＯケア株式会社
そんぽの家",5,土,第４土曜日,12:00,13:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,子ども食堂「ゆいな」,コドモショクドウユイナ,,,西東京市南町5-1-15,,,,(042)452-3692,,,,,,,,,,,,医療法人社団欅会　看護小規模多機能ゆいなの森,5,土,第４土曜日,13:00,14:30,,,,,,,,,,,,,,,,,,,
132292,,東京都,西東京市,むさとく こども食堂,ムサトクコドモショクドウ,,,西東京市向台町6-14-2,,,,(042)465-0760,,,,,,,,,,,,医療法人徳洲会　武蔵野徳洲会病院,5,,,,,,,,,,,,,,,,,,,,,,,
